Maker,2W,3W,4W
HIGHWAY ENGING WORKS,0,0,2
HIMANI AGRO INDUSTRIES,0,0,3
HIM TEKNOFORGE LTD,0,37,0
HIND AGRO INDUSTRIES,0,0,2
HINDUSTAN MOTOR CORPORATION,0,63,1
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,10
HIRA AGRO INDUSTRIES,0,0,9
HITECH ENGINEERING LTD,0,0,5
HI-TECH INDUSTRIES,0,7,0
HITENDRA WELDING WORKS,0,0,4
HONDA CARS INDIA LTD,0,0,5683
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,244820,0,6
HONGKONG YIXING (IMPORTER: ADMS MARKETING),2,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),1,0,0
HOOGHLY MOTORS PVT LTD,0,221,0
HOP ELECTRIC MOBILITY PVT LTD,62,0,0
HOP MOTORS PVT LTD,0,67,0
HOTAGE INDIA,0,802,0
HOUSTAN INNOVATION LLP,5,0,0
HOVEL CYLINDER PVT LTD,0,2,0
H R AGRO INDUSTRIES,0,0,4
HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),1,0,0
HUNDAL INDUSTRIES,0,85,0
HYKON INDIA LTD,0,7,0
HYUNDAI MOTOR INDIA LTD,0,0,42801
INDERPREET AGRO INDUSTRIES,0,0,4
INDIA KAWASAKI MOTORS PVT LTD,279,0,0
INDIAN MOTORS,0,147,0
INDIA SAFE ENTERPRISE,0,13,0
INDIA YAMAHA MOTOR PVT LTD,38192,0,0
INDO FARM EQUIPMENT LIMITED,0,0,258
INDUS ELECTROTHERM INDIA LTD,0,0,3
INTERNATIONAL CARS & MOTORS LIMITED,0,0,2
INTERNATIONAL TRACTORS LIMITED,0,0,6965
INVVIGORS INDIA,0,4,0
IRA EDUTECH PVT LTD,2,0,0
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,11
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,1
ISUKII GREENS PVT LTD,0,2,0
ISUZU MOTORS INDIA PVT LTD,0,0,225
IVOOMI INNOVATION PVT LTD,227,0,0
IZANAU ELECTRIC LLP,9,0,0
JADE KOREA SPINE LIFE,0,8,0
JADHAV AGRO INDUSTRIES PVT. LTD.,0,0,1
JAGRUTI MOTORS LTD.,0,0,1
JAGUAR LAND ROVER INDIA LIMITED,0,0,170
JAI BHAVANI ENGINEERING  WORKS,0,0,7
JAIDKA POWER SYSTEMS PVT LTD,0,2,0
JAIN POWER CORP,0,10,0
JAISIK BUSINESS LINKS PVT LTD,0,34,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,18,0
JAJODIA COMMODITIES PVT LTD,0,38,0
JANTA AGRICULTURE WORKS,0,0,1
JAY AGRO INDUSTRIES,0,0,8
JAY BHAVANI TRAILOR,0,0,1
JBM AUTO LIMITED,0,0,13
JCB INDIA LIMITED,0,0,3044
JESSUN TECHNO PVT LTD,0,15,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),64,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),2,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),7,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),2,0,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),7,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),78,0,0
JITENDRA NEW EV-TECH PVT. LTD,264,8,0
JITENDRA TEMPO PARTS,0,34,0
J K AGRO INDUSTRIES,0,0,2
JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),0,0,2
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,4613
JOYRAM STEEL FABRICATION WORKS,0,1,0
J P AUTO TECH,0,1,0
J S AGRO INDUSTRIES,0,0,5
J. S. AUTO (P) LTD,0,921,1
JS MOBILEON PVT LTD,0,55,0
JSW MG MOTOR INDIA PVT LTD,0,0,4357
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),2,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),7,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),1,0,0
KABIRA MOBILITY LLP,24,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,38,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),2,0,0
KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),1,0,0
KALINGA VENTURES INDIA PVT LTD,0,16,0
KALPVRIKSH ELECTOMOBILES CO,0,19,0
KAMAZ INDUSTRIES,0,18,0
KAPTECH INDIA PVT LTD,0,122,0
KARMA MECHANICAL WORKS,0,0,1
KARTAR AGRO INDUSTRIES PVT LTD,0,0,92
KARTAR TRACTORS PRIVATE LIMITED,0,0,8
KAWASAKI HEAVY INDUSTRIES LTD,1,0,0
KCAS ELECTRIC VEHICLES PVT LTD,0,20,0
K D AGRO INDUSTRIES,0,0,2
KERALA AUTOMOBILES LIMITED,0,15,0
KGN,0,19,0
KGN INDUSTRIES,0,27,0
KHALSAE-VEHICLES PVT LTD,0,596,0
KHUSHI AGRO ENGINEERING,0,0,2
KIA INDIA PRIVATE LIMITED,0,0,17062
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,849,328,0
KION INDIA PVT LTD,0,0,66
KIRAN AUTOMOBILE INDUSTRY,0,5,0
KISAN ENGINEERING WORKS,0,0,6
KLB KOMAKI PVT LTD,346,0,0
KPT MOTORS,0,11,0
KRISHNA AGRO ENGI,0,0,1
KRISHNA ENGINEERING WORKS,0,54,0
KRISHNA INDUSTRIES,0,0,1
KRISHNA VEHICALS,0,33,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,21
K.S. AGROTECH  PVT LTD,0,0,6
K T ENTERPRISES,0,16,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1319
KUKU AUTOMOTIVES,0,40,0
KULAR AGRO WORKS,0,0,5
KUMARAN ENGINEERING ENTERPRISES,0,73,2
KUMAR ENGINEERING,0,171,1
K. V. INDUSTRIES,0,5,0
KYTE ENERGY PVT. LTD.,53,0,0
LAKSHMI MOTORS,0,0,1
LAKSHYA AUTO SALES CORPORATION,0,10,0
LAWAT MOTORS LLP,0,19,0
"LAXMI GOBINDA AGRO IND,BLS",0,0,4
LECTRIX E VEHICLES PVT LTD,320,426,0
LEOPAN MOTORS PRIVATE LIMITED,0,2,0
LIEBHERR,0,0,3
LIEBHERR INDIA PVT LTD,0,0,4
LIUGONG INDIA PVT. LTD,0,0,86
LOCAL TRAILER MANUFACTURER,1,0,3493
LOHIA AUTO INDUSTRIES,0,149,0
LORDS VEHICLE MFG PVT LTD,0,19,0
LOTEY AGRICULTURE WORKS,0,0,2
L & T CASE EQUIPMENT PVT LTD,0,0,1
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,28
MAA ENGINEERING TRAILOR,0,0,4
MAA KALPANA ENTERPRISE,0,6,0
"MAA MANGALA ENTERPRISES,SNG",0,0,4
MAA SHAKTI EXIM PVT LTD,0,175,0
MAA TARINI ENGINEERING,0,0,1
MAC AUTO INDIA,0,40,0
MACONS EQUIPMENTS PVT LTD,0,0,3
MADHU AUTOMOBILES LTD,0,0,2
MAHABIR INDUSTRIES,0,0,1
MAHAVIR TRACTOR AND IMPLEMENTS,0,0,6
MAHI ENTERPRISES,0,12,0
