Maker,2W,3W,4W
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),1,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),57,0,0
JITENDRA NEW EV-TECH PVT. LTD,150,3,0
JITENDRA TEMPO PARTS,0,61,0
J K AGRO INDUSTRIES,0,0,2
J K AMO-PAPERS & CO,0,0,2
JMT VEHICLES PVT LTD,0,138,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,4621
J S AGRO INDUSTRIES,0,0,1
J. S. AUTO (P) LTD,0,1089,0
JS MOBILEON PVT LTD,0,82,0
JSW MG MOTOR INDIA PVT LTD,0,0,4297
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),36,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),4,0,0
KABIRA MOBILITY LLP,5,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,39,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),6,0,0
KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),1,0,0
"KALINGA AGRO INDUSTRIES ,PIPILI,PURI.",0,0,1
KALINGA VENTURES INDIA PVT LTD,0,17,0
KALPVRIKSH ELECTOMOBILES CO,0,18,0
KAMAZ INDUSTRIES,0,6,0
KAPTECH INDIA PVT LTD,0,185,0
KARMA MECHANICAL WORKS,0,0,2
KARTAR AGRO INDUSTRIES PVT LTD,0,0,69
KARTAR TRACTORS PRIVATE LIMITED,0,0,15
KCAS ELECTRIC VEHICLES PVT LTD,0,9,0
KETO MOTORS PVT LTD,0,20,0
KGN,0,31,0
KGN INDUSTRIES,0,32,0
KHALSAE-VEHICLES PVT LTD,0,891,0
KHUSHI AGRO ENGINEERING,0,0,1
KIA INDIA PRIVATE LIMITED,0,0,21959
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,395,343,0
KINETIC MOTOR COMPANY LIMITED,1,0,0
KION INDIA PVT LTD,0,0,86
KIRAN AUTOMOBILE INDUSTRY,0,1,0
KIRTI SOLAR LTD,0,1,0
KISAN ENGINEERING,0,0,1
KISAN ENGINEERING WORKS,0,0,7
KISSAN AGRO INDUSTRIES,0,0,5
KLB KOMAKI PVT LTD,303,0,0
KOMATSU LTD JAPAN,0,0,1
KPT INDUSTRIES LTD,0,1,0
KPT MOTORS,0,14,0
KRISHNA ENGINEERING WORKS,0,75,0
KRISHNA VEHICALS,0,24,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,14
K.S. AGROTECH  PVT LTD,0,0,15
K T ENTERPRISES,0,11,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1092
KUKU AUTOMOTIVES,0,41,0
KULAR AGRO WORKS,0,0,5
KUMAR ENGINEERING,0,206,0
KUSHAL AGRO IND,0,0,2
K. V. INDUSTRIES,0,4,0
KYTE ENERGY PVT. LTD.,27,0,0
LAKSHMI AUTO TRADERS,0,1,0
LAKSHMI MOTORS,0,0,1
LAKSHYA AUTO SALES CORPORATION,0,22,0
LAL AGRO INDUSTRIES,0,0,1
LAWAT MOTORS LLP,0,32,0
"LAXMI GOBINDA AGRO IND,BLS",0,0,4
LECTRIX E VEHICLES PVT LTD,1139,738,0
LEOPAN MOTORS PRIVATE LIMITED,0,1,0
LIEBHERR,0,0,1
LIEBHERR INDIA PVT LTD,0,0,1
LIUGONG INDIA PVT. LTD,0,0,64
LML LIMITED,0,0,1
LOCAL TRAILER MANUFACTURER,0,0,3763
LOHIA AUTO INDUSTRIES,0,132,0
LORDS VEHICLE MFG PVT LTD,0,15,0
LOTAY AGRO TECH,0,0,1
LOTEY AGRICULTURE WORKS,0,0,1
L & T CASE EQUIPMENT PVT LTD,0,0,1
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,21
LUCKY INDUSTRIES,0,7,0
MAA ENGINEERING TRAILOR,0,0,6
MAA KALPANA ENTERPRISE,0,22,0
"MAA MANGALA ENTERPRISES,SNG",0,0,1
"MAA MANGALA MOTORS & ENGG,RKL",0,0,3
MAA SHAKTI EXIM PVT LTD,0,225,0
MAA TARINI ENGINEERING,0,0,3
MAC AUTO INDIA,0,47,0
MADHU AUTOMOBILES LTD,0,0,2
MAHINDRA DEFENCE SYSTEMS LTD,0,0,1
MAHINDRA ELECTRIC MOBILITY LIMITED,0,11,2
MAHINDRA LAST MILE MOBILITY LTD,0,2957,905
MAHINDRA & MAHINDRA LIMITED,3,2946,59388
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,11063
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,14176
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,8
MAHTAB BODY MAKER,0,103,0
MALAK TECHNO PVT LTD,0,12,0
MALI ENTERPRISES PVT LTD,0,1,0
MALKIT AGRO TECH PVT. LTD,0,0,45
MANIRAM ELECTRIC VEHICLE PVT LTD,0,66,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,46,0
MANITA CITY MOTORS LLP,0,223,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,33
MANITOWOC INDIA LIMITED,0,0,1
MANKU AGRO TECH PVT LTD,0,0,78
MANMOHAN KAUR,0,13,0
MARATHWADA QUALITY TRAILER,0,0,3
MARKUS,0,5,0
MARTHWADA TRALIOR,0,0,1
MARUTHISAN PVT LTD,16,0,0
MARUTI SUZUKI INDIA LTD,2,0,151723
MARUTI UDYOG LTD,0,0,28
MASERATI S.P.A,0,0,1
MATHARU ENGINEERING AGRI WORKS,0,0,3
MATHARU ENGINEERING WORKS,0,0,3
"MAYUR ENTERPRISES,BARIPADA",0,0,4
MECPOWER MOBILITY PVT. LTD.,1,0,0
MEHER TRAILERS PVT LTD,0,0,2
MERCEDES -BENZ AG,0,0,105
MERCEDES-BENZ INDIA PVT LTD,0,0,1266
MEW ELECTRICALS LIMITED,7,0,0
M G INDUSTRIES,0,11,0
M H AGRICULTURE WORKS,0,0,2
MINI METRO EV L.L.P,0,1356,0
MIRAKLE 5 AUTOMOBILES PVT LTD,13,0,0
M.K. ENTERPRISES,0,163,0
MLR AUTO LTD,0,191,2
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),8,0,0
MOHAN GENERAL TRADING COMPANY,0,4,0
MONDAL TRADING,0,22,0
MOON AGRICULTURE & FABRICATION WORKS,0,0,2
MOVE STONE SERVICES PVT LTD,0,404,0
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,3
M/S ASHOKA INDUSTRIES,0,0,1
M/S BHARAT TRAILERS,0,0,13
M/S DAS ENGINEERING WORKSHOP,0,0,1
M/S HARITKRANTI AGRO UDYOG,0,0,4
M/S JAVED STEEL INDUSTRIES,0,0,1
M/S KASTKAR AGRO INDUSTRIES,0,0,11
M/S K K AGRO INDUSTRIES,0,0,2
M/S MAA MANGALA INDUSTRIES,0,0,10
M/S MAA MOTORS WORKSHOP,0,0,2
M/S NELATARA FABRICATION,0,0,1
M/S NEW SHETKARI ENGINEERING WORK,0,0,1
