Maker,2W,3W,4W
INTERNATIONAL CARS & MOTORS LIMITED,0,0,7
INTERNATIONAL TRACTORS LIMITED,0,0,9879
INVVIGORS INDIA,0,2,0
IRA EDUTECH PVT LTD,9,0,0
ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,0,0,16
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,4
ISUKII GREENS PVT LTD,0,2,0
ISUZU MOTORS INDIA PVT LTD,0,0,261
IVOOMI INNOVATION PVT LTD,194,0,0
IZANAU ELECTRIC LLP,4,0,0
JADE KOREA SPINE LIFE,0,8,0
JAGUAR LAND ROVER INDIA LIMITED,0,0,192
JAI BHAVANI ENGINEERING  WORKS,0,0,24
JAIDKA POWER SYSTEMS PVT LTD,0,23,0
JAIN POWER CORP,0,21,0
JAISIK BUSINESS LINKS PVT LTD,0,46,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,34,0
JAJODIA COMMODITIES PVT LTD,0,55,0
JAL ENTERPRISES,0,12,0
JAY AGRO INDUSTRIES,0,0,8
JAY BHAVANI TRAILOR,0,0,1
JCB INDIA LIMITED,0,0,3438
JCB INDIA LTD,0,0,12
JEET AGRO INDUSTRIES,0,0,1
JESSUN TECHNO PVT LTD,0,20,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),30,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),3,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),6,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),1,0,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),13,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),102,0,0
JITENDRA NEW EV-TECH PVT. LTD,350,5,0
JITENDRA TEMPO PARTS,0,43,0
J K AGRO INDUSTRIES,0,0,6
JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),0,0,5
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,6869
JOYRAM STEEL FABRICATION WORKS,0,5,0
J P AUTO TECH,0,9,0
J S AGRO INDUSTRIES,0,0,15
J. S. AUTO (P) LTD,0,965,0
JS MOBILEON PVT LTD,0,115,0
JSW MG MOTOR INDIA PVT LTD,0,0,4917
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),11,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),13,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),3,0,0
KABIRA MOBILITY LLP,19,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,45,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),4,0,0
"KALINGA AGRO INDUSTRIES ,PIPILI,PURI.",0,0,1
KALINGA VENTURES INDIA PVT LTD,0,39,0
KALPVRIKSH ELECTOMOBILES CO,0,12,0
KAMAZ INDUSTRIES,0,18,0
KAPTECH INDIA PVT LTD,0,161,0
KARMA MECHANICAL WORKS,0,0,2
KARTAR AGRO INDUSTRIES PVT LTD,0,0,303
KARTAR TRACTORS PRIVATE LIMITED,0,0,30
KCAS ELECTRIC VEHICLES PVT LTD,0,17,0
K D AGRO INDUSTRIES,0,0,2
KERALA AUTOMOBILES LIMITED,0,13,0
KETO MOTORS PVT LTD,0,61,0
KGN,0,32,0
KGN INDUSTRIES,0,37,1
"KHAGESWAR AUTO BUILD WORKS,HALADIAPADAR,BERHAMPUR,GANJAM",0,0,1
KHALSAE-VEHICLES PVT LTD,0,601,0
KHUSHI AGRO ENGINEERING,0,0,1
KIA INDIA PRIVATE LIMITED,0,0,21584
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1646,460,0
KION INDIA PVT LTD,0,0,68
KIRAN AUTOMOBILE INDUSTRY,0,7,0
KIRTI SOLAR LTD,0,1,0
KISSAN AGRO INDUSTRIES,0,0,1
KLB KOMAKI PVT LTD,402,0,0
KOBELCO LTD.,0,0,1
KOMATSU LTD JAPAN,0,0,2
KPT INDUSTRIES LTD,0,2,0
KPT MOTORS,0,2,0
KRISHNA AGRO ENGI,0,0,3
KRISHNA ENGINEERING WORKS,0,77,0
KRISHNA INDUSTRIES,0,0,3
KRISHNA VEHICALS,0,60,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,44
K.S. AGROTECH  PVT LTD,0,0,5
K T ENTERPRISES,0,10,0
KTM MOTORRAD AG,1,0,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1956
KUKU AUTOMOTIVES,0,42,0
KULAR AGRO WORKS,0,0,3
KUMARAN ENGINEERING ENTERPRISES,0,6,0
KUMAR ENGINEERING,0,243,2
K. V. INDUSTRIES,0,1,0
KYTE ENERGY PVT. LTD.,20,0,0
LAKSHMI MOTORS,0,0,1
LAKSHYA AUTO SALES CORPORATION,0,35,0
LAL CHAND AGRICULTURE WORKS,0,0,1
LAWAT MOTORS LLP,0,25,0
L B AGRO PRODUCTS,0,0,10
LECTRIX E VEHICLES PVT LTD,188,528,0
LIEBHERR,0,0,4
LIEBHERR INDIA PVT LTD,0,0,1
LIUGONG INDIA PVT. LTD,0,0,79
LOCAL TRAILER MANUFACTURER,0,0,3865
LOHIA AUTO INDUSTRIES,0,151,0
LORDS VEHICLE MFG PVT LTD,0,14,0
LOTEY AGRICULTURE WORKS,0,0,2
LOTEY INDUSTRY,0,0,1
LOVEJEET AGRO INDUSTRY,0,0,2
L & T CASE EQUIPMENT PVT LTD,0,0,6
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,49
M2GO ELECTRIC VEHICLE PVT LTD,1,0,0
MAA ADISHAKTI ENGINEERING,0,0,1
MAA ENGINEERING TRAILOR,0,0,17
MAA KALPANA ENTERPRISE,0,6,0
"MAA MANGALA ENTERPRISES,SNG",0,0,1
MAA SHAKTI EXIM PVT LTD,0,255,0
MAA TARINI ENGINEERING,0,0,2
MAC AUTO INDIA,0,52,0
MACONS EQUIPMENTS PVT LTD,0,0,1
MADHU AUTOMOBILES LTD,0,0,1
"MADHUSUDAN ENG.WORKS,NIMAPADA",0,0,1
MAHAVIR TRACTOR AND IMPLEMENTS,0,0,1
MAHI ENTERPRISES,0,12,0
MAHINDRA DEFENCE SYSTEMS LTD,0,0,5
MAHINDRA ELECTRIC MOBILITY LIMITED,0,936,9
MAHINDRA & MAHINDRA LIMITED,9,4480,54296
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,14113
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,17783
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,8
MAHINDRA TWO WHEELERS LTD,2,0,0
MAHTAB BODY MAKER,0,46,0
MALIK ENGINEERING WORKS,0,0,1
MALKIT AGRO TECH PVT. LTD,0,0,145
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,35,0
MANITA CITY MOTORS LLP,0,151,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,48
MANKU AGRO TECH PVT LTD,0,0,291
MANKU AGRO TECH. PVT. LTD.,0,0,1
MARKUS,0,2,0
MARUTHISAN PVT LTD,22,0,0
MARUTI SUZUKI INDIA LTD,2,0,142780
MARUTI UDYOG LTD,0,0,25
MASERATI S.P.A,0,0,3
MATHARU ENGINEERING AGRI WORKS,0,0,4
MATHARU ENGINEERING WORKS,0,0,4
"MAYUR ENTERPRISES,BARIPADA",0,0,3
MB AGRO INDUSTRIES,0,0,2
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),0,0,1
MERCEDES -BENZ AG,0,0,95
MERCEDES-BENZ INDIA PVT LTD,0,0,1660
MEW ELECTRICALS LIMITED,35,0,0
M G INDUSTRIES,0,10,0
M H AGRICULTURE WORKS,0,0,5
MICROAUTOTECH PVT. LTD.,1,0,0
MINI METRO,0,21,0
MINI METRO EV L.L.P,0,1265,1
MIRAKLE 5 AUTOMOBILES PVT LTD,12,0,0
M K BROTHERS,0,0,1
M.K. ENTERPRISES,0,68,0
MLR AUTO LTD,0,227,0
MODERN  AGRO  INDUSTRIES,0,0,2
MOHAN GENERAL TRADING COMPANY,0,5,0
MONDAL TRADING,0,1,0
MOVE STONE SERVICES PVT LTD,0,153,0
M S AGRO INDUSTRIES,0,0,10
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,4
M/S ASHOKA INDUSTRIES,0,0,1
M/S BHARAT TRAILERS,0,0,8
M/S KASTKAR AGRO INDUSTRIES,0,0,11
M/S K K AGRO INDUSTRIES,0,0,2
M/S MAA MANGALA INDUSTRIES,0,0,7
M/S MAA MOTORS WORKSHOP,0,0,2
M/S NEW SHETKARI ENGINEERING WORK,0,0,2
"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",0,0,1
M/S RAM AGRO MACHINARY,0,0,4
M/S SAI AUTO ENGINEERING WORKS,0,0,1
M/S SARANGI MOTROS,0,0,18
M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,0,0,68
M/S SHREE SHYAM AGRO PRODUCTS,0,0,1
M/S SHRIRAM AUTO TECH PVT LTD,0,310,0
M/S S.S. AGRO INDUSTRIES,0,0,1
"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,4
M/S SUPERIOR MANUFACTURING COMPANY,0,0,2
"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",0,0,1
MUNDE MECHANICAL WORKS,0,0,7
MYTRAH MOBILITY PVT LTD,0,0,12
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,296,0
"NAIK TROLLEY AND IMPL,SNG",0,0,19
NARINDERA AGRO WORKS,0,0,3
NAZAR SINGH & SONS,0,0,1
NDS ECO MOTORS PVT LTD,1,0,0
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,72,0
NEELAM CYCLE,0,2,0
NEUON MOTORS LLP,0,1,0
NEW ARCANA INDIA,0,134,0
NEW DEVE AGRO WORKS,0,0,3
NEW GAHIR AGRO INDUSTRIES,0,0,15
NEW GURDIAL AGRO INDUSTRIES PVT LTD,0,0,20
NEW HIND AGRO PVT LTD,0,0,2
NEW KISAN ENGINEERING WORKS,0,0,1
NEW MALLIKARJUNA ENG WORKS,0,0,12
NEW SUPER QUALITY TRAILOR,0,0,2
NHD MOTORS,0,17,0
NIBE MOTORS PVT LTD,0,2,0
NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),19,0,0
