Maker,2W,3W,4W
GOREEN E-MOBILITY PVT LTD,107,0,0
GOYAL AGRO INDUSTRIES,0,0,2
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,1,0
GRD MOTORS,0,312,0
GREAVES ELECTRIC MOBILITY PVT LTD,2977,0,0
GREEN EVOLVE PVT LTD,0,8,0
GREENFIT INDUSTRIES LLP,0,4,0
GREEN IMPEX,0,24,0
GREEN SHUTTLE TECHNOLOGY PVT LTD,0,2,0
GREEN STAR MOTORS,0,19,0
GREEN TECHNOLOGIES,0,23,0
GREENWHEELS AUTOMOBILE PVT LTD,0,78,0
GROMAX AGRI EQUIPMENT LTD,0,0,358
GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),8,0,0
GUJARAT NARMADA AUTO LTD,0,0,1
GURDEEP AGRO  INDUSTRIES,0,0,1
GURMUKH AGRO INDUSTRIES,0,0,1
GURUKIRPA INDUSTRIES,0,1,0
GURUKRAPA ENGINEERING WORKS,0,0,1
GURU NANAK AGRI ENGG WORKS,0,0,24
GURU NANAK AGRI WORKS,0,0,4
GURU NANAK AGRO INDUSTRIES,0,0,2
HAMM AG,0,0,5
HANUMAN UDYOG,0,8,0
HARJEET AGRO INDUSTRIES,0,0,24
HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),25,0,0
HARSH TRADING CO,0,32,0
HAYASA E-MOBILITY (INDIA) PVT LTD,1,0,0
HBSS E MOBILITY PVT LTD,0,8,0
H-D MOTOR COMPANY INDIA PVT LTD,1,0,0
HEMAVATHI AGRO INDUSTRIES,0,0,1
HERO ELECTRIC VEHICLES PVT. LTD,552,0,0
HERO HONDA MOTORS  LTD,2,0,1
HERO MOTOCORP LTD,465111,0,0
HIGHWAY ENGING WORKS,0,0,9
HIM TEKNOFORGE LTD,0,33,0
HIND AGRO INDUSTRIES,0,0,2
HINDUSTAN MOTOR CORPORATION,0,140,0
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,3
HIRA AGRO INDUSTRIES,0,0,26
HITECH ENGINEERING LTD,0,0,10
HI-TECH INDUSTRIES,0,3,0
HITECH  MECHANICAL WORKS,0,2,0
HITENDRA WELDING WORKS,0,0,11
HOLLAND TRACTORS PVT LTD,0,0,2
HOMFEEL VEGH AUTOMOBILES PVT LTD,2,0,0
HONDA CARS INDIA LTD,0,0,8105
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,345230,0,12
HONGKONG YIXING (IMPORTER: ADMS MARKETING),11,0,0
HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),4,0,0
HOOGHLY MOTORS PVT LTD,0,390,0
HOP ELECTRIC MOBILITY PVT LTD,20,0,0
HOP MOTORS PVT LTD,0,90,0
HOTAGE INDIA,0,1330,0
HOUSTAN INNOVATION LLP,2,0,0
HOVEL CYLINDER PVT LTD,0,11,0
H R AGRO INDUSTRIES,0,0,2
HUNDA EV PVT LTD,0,60,0
HUNDAL INDUSTRIES,0,94,0
HYKON INDIA LTD,0,5,0
HYUNDAI MOTOR INDIA LTD,0,0,40243
INDERPREET AGRO INDUSTRIES,0,0,4
INDIA KAWASAKI MOTORS PVT LTD,223,0,0
INDIAN MOTORS,0,173,0
INDIA SAFE ENTERPRISE,0,42,0
INDIA YAMAHA MOTOR PVT LTD,48348,0,1
INDO FARM EQUIPMENT LIMITED,0,0,264
INDUS ELECTROTHERM INDIA LTD,0,0,1
INTERNATIONAL CARS & MOTORS LIMITED,0,0,6
INTERNATIONAL TRACTORS LIMITED,0,0,11350
INVVIGORS INDIA,0,22,0
IPL TECH ELECTRIC PVT LTD,0,0,11
ISHWAR FARMLINE EQUIPMENTS PVT LTD,0,0,1
ISUKII GREENS PVT LTD,0,19,0
ISUZU MOTORS INDIA PVT LTD,0,0,130
IVOOMI INNOVATION PVT LTD,109,0,0
IZANAU ELECTRIC LLP,2,0,0
JADE KOREA SPINE LIFE,0,5,0
JAGDAMBA TRAILERS PVT LTD,0,0,3
JAGUAR LAND ROVER INDIA LIMITED,0,0,302
JAI BHAVANI ENGINEERING  WORKS,0,0,2
JAIDKA POWER SYSTEMS PVT LTD,0,5,0
JAIN POWER CORP,0,39,0
JAISIK BUSINESS LINKS PVT LTD,0,55,0
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,23,0
JAJODIA COMMODITIES PVT LTD,0,118,0
JAY AGRO INDUSTRIES,0,0,10
JAY BHAVANI TRAILOR,0,0,1
JBM AUTO LIMITED,0,0,137
JCB INDIA LIMITED,0,0,3447
JESSUN TECHNO PVT LTD,0,10,0
JIANGSU AIMA (IMPORTER: FUTURE EV),1,0,0
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),11,0,0
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),1,0,0
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),3,0,0
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),3,0,0
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,4,0
JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,0,0
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),9,0,0
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),31,0,0
JITENDRA NEW EV-TECH PVT. LTD,138,0,0
JITENDRA TEMPO PARTS,0,87,0
JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,0,0,4
J K AMO-PAPERS & CO,0,0,1
JMSSP AGRO INDUSTRIES PVT LTD,0,0,5
JMT VEHICLES PVT LTD,0,246,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,0,5274
J P AUTO TECH,0,4,0
J. S. AUTO (P) LTD,0,1155,1
JS MOBILEON PVT LTD,0,57,0
JSW MG MOTOR INDIA PVT LTD,0,0,3475
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),6,0,0
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),22,0,0
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),5,0,0
KABIRA MOBILITY LLP,6,0,0
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,41,0
KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,4,0
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),7,0,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),5,0,0
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),3,0,0
KALINGA VENTURES INDIA PVT LTD,0,32,0
KALPVRIKSH ELECTOMOBILES CO,0,22,0
KAMAZ INDUSTRIES,0,1,0
KAPTECH INDIA PVT LTD,0,172,0
KARMA MECHANICAL WORKS,0,0,2
KARTAR AGRO INDUSTRIES PVT LTD,0,0,57
KARTAR TRACTORS PRIVATE LIMITED,0,0,24
KCAS ELECTRIC VEHICLES PVT LTD,0,7,0
K D AGRO INDUSTRIES,0,0,7
KERALA AUTOMOBILES LIMITED,0,11,0
KETO MOTORS PVT LTD,0,1,0
KGN,0,46,0
KGN INDUSTRIES,0,49,0
KHALSAE-VEHICLES PVT LTD,0,968,0
KHAN ENGINEERING WORKS,0,0,2
KHUSHI AGRO ENGINEERING,0,0,2
KIA INDIA PRIVATE LIMITED,0,0,16199
KIA MOTORS CORPN,0,0,1
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,668,318,0
KION INDIA PVT LTD,0,0,69
KIRAN AUTOMOBILE INDUSTRY,0,1,0
KISAN ENGINEERING,0,0,4
KISAN ENGINEERING WORKS,0,0,3
KISSAN AGRO INDUSTRIES,0,0,1
KLB KOMAKI PVT LTD,293,0,0
KOMATSU LTD JAPAN,0,0,2
KPT MOTORS,0,1,0
KRISHNA ENGINEERING WORKS,0,138,0
KRISHNA INDUSTRIES,0,0,2
KRISHNA VEHICALS,0,24,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,3
K.S. AGROTECH  PVT LTD,0,0,12
K T ENTERPRISES,0,21,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1521
KUKU AUTOMOTIVES,0,30,0
KULAR AGRO WORKS,0,0,2
KUMAR ENGINEERING,0,285,0
KUSHAL AGRO IND,0,0,7
K. V. INDUSTRIES,0,1,0
KYTE ENERGY PVT. LTD.,127,0,0
LAKSHMI AUTO TRADERS,0,0,1
LAKSHYA AUTO SALES CORPORATION,0,20,0
LAL AGRO INDUSTRIES,0,0,1
LAWAT MOTORS LLP,0,41,0
LAXMI ENGINEERING WORKSHOP,0,0,2
"LAXMI GOBINDA AGRO IND,BLS",0,0,2
L B AGRO PRODUCTS,0,0,3
LECTRIX E VEHICLES PVT LTD,770,722,0
LEOPAN MOTORS PRIVATE LIMITED,0,5,0
LIEBHERR,0,0,2
LI-IONS ELEKTRIK SOLUTIONS PVT LTD,5,0,0
LIUGONG INDIA PVT. LTD,0,0,66
LOCAL TRAILER MANUFACTURER,0,0,4578
LOHIA AUTO INDUSTRIES,0,127,0
LORDS VEHICLE MFG PVT LTD,0,17,0
LOTAY AGRO TECH,0,0,1
LOTEY AGRICULTURE WORKS,0,0,1
L & T CASE EQUIPMENT PVT LTD,0,0,4
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,24
LUCKY INDUSTRIES,0,4,0
MAA ENGINEERING TRAILOR,0,0,18
MAA KALPANA ENTERPRISE,0,23,0
MAA SHAKTI EXIM PVT LTD,0,190,0
MAA TARINI ENGINEERING,0,0,1
MAC AUTO INDIA,0,64,0
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,0,0
MADHU AUTOMOBILES LTD,0,0,1
MAHABIR INDUSTRIES,0,0,1
MAHI ENTERPRISES,0,1,0
MAHINDRA DEFENCE SYSTEMS LTD,0,0,1
MAHINDRA ELECTRIC MOBILITY LIMITED,0,6,2
MAHINDRA LAST MILE MOBILITY LTD,0,5125,1394
MAHINDRA & MAHINDRA LIMITED,1,778,50976
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,14382
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,18589
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,8
MAHTAB BODY MAKER,0,94,0
MALAK TECHNO PVT LTD,0,7,0
MALKIT AGRO TECH PVT. LTD,0,0,36
MANIRAM ELECTRIC VEHICLE PVT LTD,0,80,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,45,0
MANITA CITY MOTORS LLP,0,208,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,52
MANKU AGRO TECH PVT LTD,0,0,46
MANMOHAN KAUR,0,17,0
MANPREET AGRO INDUSTRIES,0,0,1
MARATHWADA QUALITY TRAILER,0,0,4
MARKUS,0,3,0
MARTHWADA TRALIOR,0,0,4
MARUTHISAN PVT LTD,11,0,0
MARUTI INDUSTRIES,0,0,1
MARUTI SUZUKI INDIA LTD,0,0,123113
MARUTI UDYOG LTD,0,0,30
MATHARU ENGINEERING AGRI WORKS,0,0,3
MATHARU ENGINEERING WORKS,0,0,2
MAULIRAJ INDUSTRIES LLP,0,0,1
"MAYUR ENTERPRISES,BARIPADA",0,0,5
MECPOWER MOBILITY PVT. LTD.,4,0,0
MEGH RAJ GOYAL & COMPANY,0,0,1
MERCEDES -BENZ AG,0,0,148
MERCEDES-BENZ INDIA PVT LTD,0,0,1229
MEW ELECTRICALS LIMITED,2,0,0
M G INDUSTRIES,0,8,0
M H AGRICULTURE WORKS,0,0,3
MINI METRO EV L.L.P,0,1531,0
MIRAKLE 5 AUTOMOBILES PVT LTD,5,0,0
M K BROTHERS,0,1,0
M.K. ENTERPRISES,0,123,0
MLR AUTO LTD,0,221,2
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),1,0,0
MOHAN GENERAL TRADING COMPANY,0,5,0
MONDAL TRADING,0,8,0
MOON AGRICULTURE & FABRICATION WORKS,0,0,2
MOVE STONE SERVICES PVT LTD,0,238,0
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,5
M/S ASHOKA INDUSTRIES,0,0,4
