Maker,2W,3W,4W
ELTHOR ENERGY PRIVATE LIMITED,2,0,0
E-MOTION AUTOMOTIVE INDUSTRY LLP,0,27,0
ENABLING E-VEHICLE PVT LTD,0,9,0
ENERGY ELECTRIC VEHICLES,0,1234,0
ENGINIA VEHICLES PVT LTD,0,66,0
ENGTIAN ELECTRIC BIKE PVT LTD,55,0,0
ENTICE IMPEX PVT LTD,0,76,0
EPOWER VEHICLES PVT LTD,0,1,0
ERISHA E MOBILITY PVT LTD,0,1,0
E ROYCE MOTORS INDIA PVT LTD,0,126,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,0,0,2
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,0,7400
ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),0,0,406
ESCORTS TRACTORS LTD,0,0,3
E-SPRINTO GREEN ENERGY PVT LTD,2,0,0
ESSAR ENGINEERING,0,0,1
ESSAR ENGINEERING MAYURBHANJ BARIPADA,0,0,2
EULER MOTORS PVT LTD,0,286,3
EVBHARAT RANGE PRIVATE LIMITED,0,4,0
EVCO AUTOMOBILES PVT LTD,0,139,0
EVEX AUTO INDIA PVT LTD,0,3,0
EVGREEN PVT LTD,0,1,0
EVTRIC MOTORS PVT LTD,3,0,0
EXIDE INDUSTRIES LTD,0,172,0
EXTRA FAST SOLUTIONS,0,62,0
EXTREME MOTORS,0,10,0
EYUG AUTOMOBILE PVT LTD,0,5,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,0,0,372
FEDE INDUSTRIES PVT LTD,0,135,0
FERRARI SPA (IMPORTER:SELECT CARS P LTD),0,0,1
FIELDTRACK EARTHMOVERS PVT LTD,0,0,19
FINE EQUIPMENTS INDIA PVT LTD,0,0,1
FIORI CONCRETE MACHINES INDIA PVT LTD,0,0,3
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,15,0
FIVE ELEMENTS,0,3,0
FORCE MOTORS LIMITED,0,0,1927
FORD INDIA PVT LTD,0,0,1
FRN MOTORS PVT LTD,0,6,0
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),1,0,0
GAGAN AUTOMOTIVES,0,99,0
GAHIR AGRO INDUSTRIES LIMITED,0,0,10
GALVANIC AUTO PVT LTD,0,2,0
GANESH AGRO INDUSTRIES,0,0,15
GAURA ELECTRIC VEHICLES PVT LTD,64,0,0
GAYATRI AGRO INDUSTRIES,0,0,2
GAYATRI ELECTRIC VEHICLES PVT LTD,0,207,0
GENERAL MOTORS INDIA PVT LTD,0,0,3
G & G AUTOMOTIVE,0,74,0
G.K E-VEHICLS INDUSTRIES PVT LTD,0,105,0
GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,14,0
G.K. RICKSHAW PVT LTD,0,318,0
