Maker,2W,3W,4W
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),2,0,0
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),2,0,0
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),1,0,0
KAINING (HONGKONG) (IMPORTER:RAILIES MOTO),3,0,0
KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),1,0,0
KAKKAR ELECTRIC AUTO PVT LTD,0,24,0
KALPVRIKSH ELECTOMOBILES CO,0,15,0
KANHA ELECTRIC VEHICLES,0,24,0
KAPTECH INDIA PVT LTD,0,171,0
KARMA MECHANICAL WORKS,0,0,3
KARTAR AGRO INDUSTRIES PVT LTD,0,0,103
KARTAR TRACTORS PRIVATE LIMITED,0,0,30
KATYAYANI AUTOMOTIVE,0,1,0
KCAS ELECTRIC VEHICLES PVT LTD,0,37,0
K D AGRO INDUSTRIES,0,0,9
KETO MOTORS PVT LTD,0,1,0
KGN,0,27,0
KGN INDUSTRIES,0,121,0
KHALSAE-VEHICLES PVT LTD,0,873,0
KHAN ENGINEERING WORKS,0,0,1
KIA INDIA PRIVATE LIMITED,0,0,19307
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,388,140,0
KION INDIA PVT LTD,0,0,69
KIRAN AUTOMOBILE INDUSTRY,0,20,0
KISAN ENGINEERING,0,0,1
KISSAN AGRO INDUSTRIES,0,0,3
KLB KOMAKI PVT LTD,417,94,0
KPT INDUSTRIES LTD,0,1,0
KPT MOTORS,0,4,0
KRAZ USSR RUSSIA,0,0,1
KRISHNA ENGINEERING WORKS,0,116,0
KRISHNA VEHICALS,0,11,0
K.S. AGRICULTURAL INDUSTRIES PVT. LTD,0,0,4
K.S. AGROTECH  PVT LTD,0,0,19
KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD),0,0,7
K T ENTERPRISES,0,28,0
KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,0,0,1224
KUKU AUTOMOTIVES,0,12,0
KULAR AGRO WORKS,0,0,8
KUMARAN ENGINEERING ENTERPRISES,0,26,0
KUSHAL AGRO IND,0,0,2
K. V. INDUSTRIES,0,6,0
KYTE ENERGY PVT. LTD.,29,0,0
LAKSHYA AUTO SALES CORPORATION,0,25,0
LAKSHYA MOTORS,0,3,0
LALA G E RICKSHAW AND SPARE PARTS,0,11,0
LAMBORGHINI,0,0,1
LAWAT MOTORS LLP,0,14,0
LECTRIX E VEHICLES PVT LTD,242,426,0
LEXUS MOTORS LTD,0,0,1
LIMO AUTO CARE PVT LTD,0,1,0
LIONIZE AUTOMOBILE PVT LTD,0,44,0
LIUGONG INDIA PVT. LTD,0,0,56
LOCAL TRAILER MANUFACTURER,0,0,2751
LOHIA AUTO INDUSTRIES,0,112,0
LORDS AUTOMATIVE PVT LTD,1,0,0
LORDS VEHICLE MFG PVT LTD,0,3,0
LOTAY AGRO TECH,0,0,3
LOTEY AGRICULTURE WORKS,0,0,1
LOTEY INDUSTRY,0,0,1
L & T CASE EQUIPMENT PVT LTD,0,0,2
L&T CONSTRUCTION EQUIPMENT LIMITED,0,0,32
LUCKY INDUSTRIES,0,18,0
M2J E VAHAN PVT LTD,0,1,0
MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,0,4,0
MAA KALPANA ENTERPRISE,0,19,0
"MAA MANGALA MOTORS & ENGG,RKL",0,0,1
MAA SHAKTI EXIM PVT LTD,0,212,0
MAA TARINI ENGINEERING,0,0,1
MAC AUTO INDIA,0,25,0
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),3,0,0
MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),1,0,0
MACONS EQUIPMENTS PVT LTD,0,0,1
MAHAK TEEN UDYOG,0,7,0
MAHAVIR AGRO EQUIPMENTS,0,0,2
MAHAVIR TRACTOR AND IMPLEMENTS,0,0,54
MAHESH ENGINEERING WORKS,0,0,1
MAHINDRA DEFENCE SYSTEMS LTD,0,0,4
MAHINDRA ELECTRIC MOBILITY LIMITED,0,4,0
MAHINDRA LAST MILE MOBILITY LTD,0,5671,1561
MAHINDRA & MAHINDRA LIMITED,0,71,57545
MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,0,12227
MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,16195
MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,0,0,13
MAHTAB BODY MAKER,0,92,0
MALAK TECHNO PVT LTD,0,5,0
MALI ENTERPRISES PVT LTD,0,1,0
MALKIT AGRO TECH PVT. LTD,0,0,52
MANIRAM ELECTRIC VEHICLE PVT LTD,0,108,0
MANISH EV INTERNATIONAL PRIVATE LIMITED,0,17,0
MANITA CITY MOTORS LLP,0,268,0
MANITOU EQUIPMENT INDIA PVT LTD,0,0,41
MANKU AGRO TECH PVT LTD,0,0,90
MANMOHAN KAUR,0,4,0
MARKUS,0,1,0
MARTHWADA TRALIOR,0,0,1
MARUTHISAN PVT LTD,5,0,0
MARUTI INDUSTRIES,0,0,2
MARUTI SUZUKI INDIA LTD,0,1,130577
MARUTI UDYOG LTD,0,0,7
MASERATI S.P.A,0,0,2
MASTO INDUSTRIES PVT LTD,0,3,0
MATHARU ENGINEERING AGRI WORKS,0,0,1
MATHARU ENGINEERING WORKS,0,0,4
"MAYUR ENTERPRISES,BARIPADA",0,0,3
MECPOWER MOBILITY PVT. LTD.,28,0,0
MERCEDES -BENZ AG,0,0,88
MERCEDES-BENZ INDIA PVT LTD,0,0,1235
MERCURY EV TECH LTD,0,3,0
M G INDUSTRIES,0,2,0
M H AGRICULTURE WORKS,0,0,1
MINI METRO EV L.L.P,0,1338,0
MIRAKLE 5 AUTOMOBILES PVT LTD,3,0,0
M K BROTHERS,0,6,0
M.K. ENTERPRISES,0,112,0
MLR AUTO LTD,0,473,5
MOHAN GENERAL TRADING COMPANY,0,3,0
MOMU AUTOMOTIVE,0,34,0
MONA GREEN AUTOMOBILES PVT LTD,0,5,0
MONDAL TRADING,0,16,0
MOTOVOLT MOBILITY PVT LTD,95,0,0
MOVE STONE SERVICES PVT LTD,0,528,0
M S AGRO INDUSTRIES,0,0,3
"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",0,0,3
M/S ASHOKA INDUSTRIES,0,0,1
M/S BHARAT TRAILERS,0,0,3
M/S KASTKAR AGRO INDUSTRIES,0,0,6
M/S LOHIYA AGRO INDUSTRIES,0,0,1
M/S MAA MANGALA INDUSTRIES,0,0,6
M/S MAA MOTORS WORKSHOP,0,0,7
